,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,precision_weighted_mean,precision_weighted_std,recall_macro_mean,recall_macro_std,recall_weighted_mean,recall_weighted_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,criterion,max_depth,max_features,max_leaf_nodes,min_samples_split,n_estimators,n_jobs
365,0.7357176984506177,0.024375396086942547,0.6994294179097468,0.025210296830488487,0.7304516980681369,0.02362643818423937,0.678912503333207,0.027031807593688468,0.7357176984506177,0.024375396086942547,0.6839377549039396,0.024423312634853044,0.7296482126941422,0.023629960351380007,entropy,,log2,,50,200,-1
366,0.7319466248037677,0.02480711325981564,0.6969128272495544,0.02507814014041734,0.7258189345427704,0.02346472695351951,0.6702412789630876,0.027481138147000934,0.7319466248037677,0.02480711325981564,0.6763945335467628,0.023829288207792787,0.7244264885973519,0.023508114220167194,entropy,,log2,,100,50,-1
367,0.7303597024093917,0.023973373587332394,0.695170827497546,0.02300517008048512,0.7243348471135345,0.02224497414650689,0.668760756381949,0.026060086298218658,0.7303597024093917,0.023973373587332394,0.6747792653190492,0.02192143196893643,0.7228708557055504,0.022605740178907003,entropy,,log2,,100,100,-1
368,0.732219643710327,0.024770371688192926,0.6982478341447921,0.023886617472262776,0.7265364708286389,0.02310202668803443,0.6706503502037884,0.026901428970288896,0.732219643710327,0.024770371688192926,0.6771608204346915,0.022838306739279956,0.7247786166799597,0.023378494125406,entropy,,log2,,100,200,-1
369,0.660603371783496,0.04476184574760335,0.5429199154421516,0.014142317662142054,0.6114973452201266,0.03478237887718296,0.5489446543718083,0.04248621045849884,0.660603371783496,0.04476184574760335,0.5347120645028778,0.034479755986349885,0.6273999355739309,0.04293587934989291,entropy,,log2,10.0,2,50,-1
370,0.659818442427138,0.04268895283797668,0.5388057160396409,0.02002977572462898,0.6085644469035302,0.03666433301230216,0.5500298536309998,0.037717933355907146,0.659818442427138,0.04268895283797668,0.5344972404852963,0.030476015134755362,0.6259342307510556,0.04015534169861143,entropy,,log2,10.0,2,100,-1
371,0.6616613200464132,0.04273045718184283,0.5389359380189802,0.024408614985227162,0.6092064951942227,0.03805420254535566,0.5536205419455981,0.035152705863236995,0.6616613200464132,0.04273045718184283,0.5383094281485445,0.02987444521821582,0.6283143715538058,0.040057869616159945,entropy,,log2,10.0,2,200,-1
372,0.6559961777353083,0.042617767056765614,0.5417662962778835,0.022952558247940482,0.6064797270512094,0.03726732472239063,0.5462599501831478,0.036681746080441086,0.6559961777353083,0.042617767056765614,0.5324432982182664,0.030907053835251566,0.6220486695109999,0.040198593547331914,entropy,,log2,10.0,50,50,-1
373,0.6603815439219165,0.041923944872262295,0.5400244010160598,0.022233538959145593,0.6092287943326815,0.03723181044512997,0.5544006870096926,0.03616915455608942,0.6603815439219165,0.041923944872262295,0.5389236626182414,0.029723884285702922,0.6272162391801255,0.039257217224196825,entropy,,log2,10.0,50,100,-1
374,0.6628216503992901,0.04219619043516421,0.5418191656310489,0.02408781716743051,0.6114139324881669,0.03773465078568819,0.55457324366882,0.03627607859010066,0.6628216503992901,0.04219619043516421,0.539780096078297,0.03064842826810724,0.6297522006887162,0.03988789170574825,entropy,,log2,10.0,50,200,-1
375,0.6603986076035766,0.04184840009366526,0.5393321503304667,0.019847831802893068,0.6089247716778747,0.03571270756558659,0.5527197570652088,0.036619161282529615,0.6603986076035766,0.04184840009366526,0.5379565018236302,0.03020459866038964,0.6274459271533888,0.03948547687545562,entropy,,log2,10.0,100,50,-1
