BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,BUILDING TYPE
Manhattan,2,0,2,0.00041387791783932076,0.0010345108003727438,1901,7350000.0,RESIDENTIAL
Manhattan,2,0,2,0.0003828961994182059,0.0006718987672524006,1910,7000000.0,RESIDENTIAL
Manhattan,3,0,3,0.0006886928552846298,0.0017320057111395216,1925,13500000.0,RESIDENTIAL
Manhattan,6,0,6,0.0006830168152685476,0.0020796866605431448,1900,23094093.0,RESIDENTIAL
Manhattan,11,1,12,0.00035191448099709105,0.0023697762870394192,2000,10.0,MIXED USE
Manhattan,9,1,10,0.0006227088900976752,0.002316717614546075,1910,10.0,MIXED USE
Manhattan,4,1,5,0.000500437528084573,0.0018482548629339846,1920,8700000.0,MIXED USE
Manhattan,20,0,20,0.0005839226166544474,0.0025662800138112523,1920,13100000.0,RESIDENTIAL
Manhattan,28,3,31,0.0008757656741480027,0.0046843608896259634,1920,19000000.0,MIXED USE
Manhattan,14,1,15,0.00046709079299009056,0.004212698620074576,1905,11800000.0,MIXED USE
Manhattan,3,1,4,0.0005439538348745358,0.0018151931775612475,1920,7700000.0,MIXED USE
Manhattan,0,2,2,0.0006073362817207861,0.001869584982529299,1910,15000000.0,COMMERCIAL
Manhattan,0,6,6,0.0007605893621550032,0.009871845975206402,1914,52400621.0,COMMERCIAL
Manhattan,1,1,2,0.0003192772509046189,0.0015483000561248772,1900,9999999.0,MIXED USE
Manhattan,1,0,1,0.000473476338008183,0.0009481238160117209,1899,12500000.0,RESIDENTIAL
Manhattan,1,0,1,0.0005326017548423716,0.001055840919968058,1899,14000000.0,RESIDENTIAL
Manhattan,1,0,1,0.0005056405647659816,0.0018663854645900018,1900,20650000.0,RESIDENTIAL
Manhattan,1,0,1,0.00046732729465742733,0.0016536175216267416,1900,21000000.0,RESIDENTIAL
Manhattan,1,1,2,0.0004931059763971336,0.0011966197092971326,1899,11800000.0,MIXED USE
Manhattan,1,0,1,0.0004720573280041624,0.0008532047838125722,1901,9500000.0,RESIDENTIAL
Manhattan,2,1,3,0.0003736726343920725,0.0010403765832614552,1901,5250000.0,MIXED USE
Manhattan,2,1,3,0.0004689828063287846,0.001030244776453681,1899,10500000.0,MIXED USE
Manhattan,3,0,3,0.0005453728448785564,0.001152093084641914,1901,10182500.0,RESIDENTIAL
Manhattan,42,0,42,0.0008823877208334319,0.004246026931942254,1880,22112000.0,RESIDENTIAL
Manhattan,22,0,22,0.0005912541683418868,0.002945156263123023,1900,10.0,RESIDENTIAL
Manhattan,107,0,107,0.0024463732469313906,0.01642739160633131,1900,72200000.0,RESIDENTIAL
Manhattan,5,0,5,0.00037012510938202114,0.001082503569462201,1900,10250000.0,RESIDENTIAL
Manhattan,19,0,19,0.0005799020883097226,0.002300453398354648,1900,8500000.0,RESIDENTIAL
Manhattan,31,5,36,0.0016436865879904453,0.00822756038090261,1920,25001000.0,MIXED USE
Manhattan,36,0,36,0.000986448454461604,0.007247974638487802,1912,37750000.0,RESIDENTIAL
Manhattan,4,1,5,0.0005061135681006552,0.0013437975345048012,1900,9167000.0,MIXED USE
